FUNDOS,SETOR,PREÇO ATUAL (R$),LIQUIDEZ DIÁRIA (R$),P/VP,ÚLTIMO DIVIDENDO,DIVIDEND YIELD,DY (3M) ACUMULADO,DY (6M) ACUMULADO,DY (12M) ACUMULADO,DY (3M) MÉDIA,DY (6M) MÉDIA,DY (12M) MÉDIA,DY ANO,VARIAÇÃO PREÇO,RENTAB. PERÍODO,RENTAB. ACUMULADA,PATRIMÔNIO LÍQUIDO,VPA,P/VPA,DY PATRIMONIAL,VARIAÇÃO PATRIMONIAL,RENTAB. PATR. PERÍODO,RENTAB. PATR. ACUMULADA,QUANT. ATIVOS,VOLATILIDADE,NUM. COTISTAS,TAX. GESTÃO,TAX. PERFORMANCE,TAX. ADMINISTRAÇÃO
RVBI11,FUNDO DE FUNDOS,"84,18","203.237,52","0,99","0,65","0,80 %","2,62 %","5,26 %","11,41 %","0,87 %","0,88 %","0,95 %","10,38 %","0,13 %","0,94 %","24,01 %","121.731.924,75","84,54","1,00","0,77 %","0,62 %","1,39 %","7,72 %",0,"16,14",12.318,N/A,N/A,N/A
RZAG11,INDEFINIDO,"9,22","2.175.781,14","0,95","0,12","1,23 %","3,70 %","7,80 %","15,58 %","1,23 %","1,30 %","1,30 %","15,58 %","0,21 %","1,45 %","14,78 %","663.515.813,29","9,75","0,95","1,18 %","2,01 %","3,21 %","16,08 %",0,"12,52",83.664,N/A,N/A,N/A
RZAK11,PAPÉIS,"89,97","2.555.080,29","0,97","1,20","1,37 %","4,11 %","7,83 %","15,68 %","1,37 %","1,31 %","1,31 %","14,25 %","-0,52 %","0,84 %","3,39 %","813.302.184,11","92,34","0,97","1,30 %","-1,46 %","-0,18 %","10,57 %",0,"17,58",51.062,N/A,N/A,N/A
RZAT11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"94,55","1.023.881,24","0,93","1,20","1,30 %","3,33 %","5,88 %","13,11 %","1,11 %","0,98 %","1,09 %","12,67 %","4,15 %","5,51 %","16,88 %","376.984.265,27",N/A,N/A,N/A,N/A,N/A,N/A,11,"18,32",36.873,N/A,N/A,N/A
RZTR11,MISTO,"105,77","2.525.750,57","1,07","1,10","1,01 %","3,75 %","6,60 %","12,43 %","1,25 %","1,10 %","1,04 %","12,43 %","6,21 %","7,28 %","22,67 %","1.099.066.367,55","99,48","1,06","1,41 %","2,10 %","3,54 %","15,43 %",17,"18,17",94.480,N/A,N/A,N/A
SADI11,PAPÉIS,"88,50","477.167,57","0,92","1,02","1,16 %","3,50 %","6,93 %","14,02 %","1,17 %","1,16 %","1,17 %","14,02 %","3,03 %","4,22 %","9,71 %","148.380.700,74","95,81","0,92","1,04 %","-3,26 %","-2,25 %","8,40 %",0,"9,75",10.668,N/A,N/A,N/A
SARE11,MISTO,"48,46","1.197.296,38","0,54","0,45","0,91 %","2,77 %","5,31 %","11,37 %","0,92 %","0,89 %","0,95 %","11,37 %","3,51 %","4,45 %","-18,70 %","816.692.234,62","88,44","0,55","0,51 %","-6,28 %","-5,81 %","-3,10 %",3,"21,38",44.741,N/A,N/A,N/A
SCPF11,SHOPPINGS,"4,70","8.288,81","0,40","0,01","0,24 %","0,98 %","2,34 %","5,61 %","0,33 %","0,39 %","0,47 %","4,65 %","-1,01 %","-0,77 %","-7,97 %","49.120.180,51","11,70","0,40","0,10 %","-0,09 %","0,02 %","-4,44 %",1,"32,09",5.055,N/A,N/A,N/A
SDIL11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"96,50","1.030.917,86","1,01","0,75","0,76 %","2,49 %","5,22 %","10,27 %","0,83 %","0,87 %","0,86 %","6,12 %","2,04 %","2,82 %","10,51 %","612.048.658,06","98,33","0,98","0,83 %","-0,22 %","0,61 %","9,86 %",5,"14,97",63.292,N/A,N/A,N/A
SEED11,INDEFINIDO,"100,83","100.830,00","1,13","0,82","0,00 %","0,82 %","2,07 %","3,23 %","0,27 %","0,35 %","0,27 %","3,23 %","0,00 %","0,00 %",N/A,"146.309.864,41",N/A,N/A,N/A,N/A,N/A,N/A,0,"16,20",125,N/A,N/A,N/A
